1,24,4,5
2,11,6,1
3,123,6,2
4,55,1,1
5,93,6,2
6,49,2,4
7,118,3,1
8,51,4,2
9,96,1,1
10,102,5,1
11,21,5,1
12,9,2,3
13,71,2,1
14,88,6,1
15,95,6,1
16,63,2,2
17,128,6,1
18,37,4,4
19,73,5,4
20,117,3,1
21,2,4,2
22,55,3,4
23,19,6,4
24,38,5,3
25,112,3,3
26,3,2,3
27,125,6,4
28,36,6,4
29,45,3,3
30,8,3,2
31,81,3,1
32,82,2,4
33,14,4,4
34,62,1,4
35,1,6,1
36,94,4,4
37,19,2,1
38,117,1,5
39,26,3,1
40,29,3,5
41,24,3,5
42,115,1,5
43,91,5,2
44,89,3,5
45,4,2,2
46,87,6,4
47,19,4,4
48,8,3,3
49,34,3,1
50,89,6,5
51,118,1,3
52,125,5,2
53,19,2,3
54,125,3,1
55,25,1,3
56,102,6,1
57,26,1,3
58,3,1,3
59,59,3,4
60,10,4,2
61,76,4,3
62,21,5,5
63,22,3,3
64,8,1,1
65,4,2,3
66,59,3,1
67,19,6,4
68,84,5,1
69,129,6,5
70,39,5,4
71,116,4,4
72,3,6,5
73,71,5,1
74,128,4,5
75,92,2,3
76,74,6,3
77,34,3,3
78,38,1,4
79,26,6,3
80,12,5,3
81,76,1,3
82,46,2,1
83,95,2,4
84,80,2,1
85,58,4,3
86,29,4,5
87,104,5,5
88,26,6,1
89,54,3,3
90,58,6,5
91,62,2,5
92,81,2,5
93,98,6,3
94,53,6,1
95,113,5,2
96,68,3,1
97,113,2,3
98,72,5,5
99,2,6,1
100,31,1,4
101,82,5,4
102,111,1,5
103,110,3,2
104,84,6,1
105,60,2,5
106,38,2,5
107,40,5,2
108,48,3,3
109,57,4,3
110,11,6,5
111,110,4,4
112,102,4,5
113,49,4,1
114,43,4,5
115,94,3,4
116,48,3,5
117,41,5,2
118,99,2,4
119,30,2,1
120,70,1,5
121,28,4,2
122,27,2,3
123,97,2,5
124,83,5,5
125,49,5,4
126,6,3,2
127,3,1,2
128,91,3,1
129,115,4,5
130,112,5,1
131,113,1,3
132,49,2,4
133,76,1,1
134,3,6,4
135,47,5,1
136,54,6,2
137,56,1,5
138,29,3,3
139,100,2,4
140,76,5,4
141,94,1,1
142,121,2,4
143,64,1,2
144,34,6,3
145,7,2,5
146,88,3,4
147,123,5,5
148,94,6,5
149,40,1,1
150,79,6,5
151,56,1,1
152,27,4,4
153,8,1,2
154,53,3,5
155,128,6,5
156,28,4,4
157,58,4,5
158,59,3,1
159,11,1,1
160,47,5,3
161,84,1,3
162,39,3,1
163,90,1,1
164,24,1,2
165,38,5,1
166,93,5,4
167,30,4,1
168,76,5,2
169,2,1,3
170,91,2,2
171,57,5,1
172,75,6,2
173,62,1,5
174,82,3,1
175,28,5,5
176,123,5,2
177,77,3,1
178,94,4,5
179,74,5,4
180,125,5,3
181,62,5,5
182,77,5,4
183,95,6,3
184,79,1,5
185,93,6,4
186,41,5,4
187,117,2,3
188,31,1,1
189,67,6,2
190,87,4,4
191,7,5,3
192,23,5,5
193,88,5,5
194,65,1,5
195,34,6,2
196,94,4,1
197,83,4,4
198,31,2,1
199,4,2,2
200,91,5,5
201,65,1,2
202,1,2,1
203,38,1,1
204,50,5,4
205,64,1,1
206,55,5,3
207,17,2,5
208,1,3,3
209,120,5,3
210,114,2,3
211,94,3,2
212,62,3,4
213,50,3,1
214,54,3,1
215,62,6,5
216,7,1,2
217,58,3,1
218,90,4,3
219,62,3,1
220,78,3,3
221,113,5,3
222,1,2,1
223,4,6,3
224,52,2,3
225,1,2,3
226,22,3,3
227,71,6,1
228,49,4,4
229,53,1,1
230,124,3,4
231,100,3,2
232,50,1,4
233,22,2,1
234,1,6,5
235,88,3,2
236,100,6,3
237,95,1,4
238,12,6,3
239,50,5,2
240,78,2,2
241,36,3,2
242,6,3,2
243,14,1,2
244,34,3,4
245,122,6,5
246,28,4,3
247,40,6,3
248,7,2,5
249,20,5,2
250,18,4,3
251,5,2,4
252,9,1,4
253,94,5,4
254,51,2,5
255,118,3,5
256,106,5,1
257,70,1,1
258,54,5,1
259,13,3,4
260,106,1,2
261,42,5,4
262,31,6,1
263,96,2,3
264,106,6,2
265,91,2,3
266,12,5,2
267,100,1,2
268,9,3,1
269,46,2,1
270,65,6,3
271,112,3,5
272,129,5,1
273,58,4,2
274,25,2,5
275,30,3,4
276,64,1,3
277,71,3,2
278,19,2,5
279,111,1,2
280,2,3,4
281,97,5,1
282,27,5,3
283,40,5,3
284,83,6,3
285,58,3,2
286,102,2,1
287,26,2,2
288,124,2,5
289,16,2,2
290,87,1,1
291,68,1,5
292,113,1,3
293,22,2,3
294,26,4,3
295,120,4,2
296,22,2,4
297,3,1,1
298,43,1,2
299,43,4,1
300,96,4,2
301,29,2,1
302,17,6,1
303,63,6,1
304,62,1,4
305,103,2,3
306,41,4,3
307,31,4,4
308,28,3,1
309,38,6,4
310,123,2,2
311,9,2,3
312,59,3,3
313,65,2,1
314,95,1,1
315,105,5,2
316,58,6,5
317,8,2,2
318,74,6,3
319,5,1,1
320,67,3,2
321,76,4,4
322,102,4,1
323,68,5,1
324,64,3,4
325,116,2,3
326,128,4,2
327,82,5,2
328,59,4,2
329,91,5,4
330,39,5,5
331,48,4,1
332,129,4,1
333,110,5,2
334,51,3,2
335,76,4,2
336,79,1,5
337,57,5,3
338,44,6,4
339,121,5,2
340,3,4,5
341,125,4,1
342,22,1,1
343,78,2,3
344,46,1,3
345,8,5,5
346,22,5,3
347,17,6,1
348,57,1,2
349,116,2,4
350,6,3,4
351,83,4,4
352,74,5,2
353,76,3,2
354,54,4,4
355,101,6,5
356,23,2,3
357,15,4,4
358,88,6,2
359,104,4,5
360,112,6,3
361,79,5,4
362,4,4,3
363,79,4,5
364,96,5,2
365,42,1,1
366,49,5,5
367,97,1,3
368,85,5,3
369,70,2,2
370,79,1,1
371,82,2,3
372,48,2,3
373,20,4,3
374,86,1,4
375,16,2,2
376,61,1,5
377,79,3,5
378,48,1,3
379,117,4,1
380,119,5,5
381,126,3,1
382,70,4,5
383,98,1,5
384,111,1,5
385,6,2,1
386,83,4,5
387,98,4,3
388,129,1,4
389,49,3,5
390,87,5,1
391,93,6,3
392,1,2,1
393,46,4,4
394,73,3,1
395,73,3,4
396,31,2,5
397,54,5,2
398,100,1,4
399,118,1,4
400,28,5,3
401,116,5,5
402,55,1,2
403,82,3,1
404,18,1,3
405,128,6,3
406,80,5,2
407,14,1,5
408,121,2,5
409,7,1,5
410,17,6,3
411,41,5,2
412,4,6,5
413,48,3,5
414,113,6,4
415,68,1,2
416,94,5,4
417,94,5,4
418,122,5,4
419,25,1,5
420,85,2,5
421,126,3,1
422,28,4,5
423,96,2,5
424,96,2,1
425,1,1,4
426,63,3,1
427,52,6,1
428,84,2,3
429,89,1,5
430,60,4,3
431,77,3,3
432,18,3,4
433,42,6,2
434,60,6,3
435,85,5,2
436,103,6,3
437,102,6,2
