1,11,37
2,22,124
3,48,46
4,103,127
5,117,13
6,73,132
7,30,63
8,61,34
9,20,66
10,79,183
11,108,119
12,27,75
13,129,154
14,110,12
15,117,208
16,77,63
17,19,65
18,100,69
19,120,125
20,37,36
21,50,187
22,103,181
23,90,62
24,108,2
25,93,49
26,35,83
27,36,41
28,46,25
29,41,53
30,98,48
31,126,131
32,40,125
33,93,158
34,66,72
35,101,89
36,122,22
37,15,55
38,113,171
39,1,201
40,3,178
41,128,199
42,99,165
43,33,126
44,96,184
45,2,90
46,12,95
47,104,183
48,12,181
49,107,78
50,6,69
51,35,166
52,49,48
53,4,30
54,73,125
55,79,16
56,3,149
57,115,11
58,38,66
59,77,91
60,25,29
61,69,104
62,82,188
63,69,27
64,49,69
65,103,113
66,19,62
67,128,72
68,26,203
69,27,97
70,105,13
71,86,203
72,87,48
73,123,169
74,109,154
75,35,190
76,105,152
77,95,101
78,74,153
79,120,157
80,126,145
81,105,61
82,78,202
83,125,54
84,8,201
85,61,154
86,18,189
87,84,36
88,78,154
89,90,74
90,20,178
91,18,125
92,101,15
93,18,100
94,26,24
95,72,143
96,73,50
97,95,205
98,12,64
99,76,73
100,4,159
101,44,57
102,82,142
103,107,25
104,85,88
105,19,138
106,68,73
107,18,22
108,1,36
109,80,126
110,13,62
111,116,183
112,48,146
113,101,79
114,26,138
115,102,28
116,60,107
117,52,116
118,121,44
119,73,68
120,87,4
121,128,48
122,41,72
123,110,123
124,7,183
125,100,23
126,119,106
127,6,184
128,97,203
129,49,28
130,63,114
131,23,20
132,97,184
133,7,32
134,45,29
135,39,109
136,47,100
137,95,203
138,75,43
139,127,184
140,55,193
141,113,35
142,92,54
143,69,11
144,16,76
145,83,47
146,47,206
147,12,173
148,56,63
149,26,36
150,108,141
151,129,55
152,126,35
153,123,115
154,53,1
155,63,127
156,81,140
157,124,66
158,20,113
159,1,11
160,92,75
161,46,153
162,125,171
163,9,125
164,90,72
165,88,175
166,34,93
167,37,60
168,95,33
169,29,154
170,41,82
171,76,21
172,77,135
173,119,34
174,117,77
175,128,2
176,15,188
177,56,125
178,41,132
179,12,25
180,24,198
181,3,178
182,101,86
183,107,183
184,32,5
185,52,33
186,81,12
187,15,1
188,21,113
189,99,20
190,115,158
191,61,26
192,94,55
193,124,175
194,46,137
195,37,39
196,28,170
197,20,45
198,121,152
199,47,10
200,21,65
201,64,161
202,47,128
203,34,115
204,126,185
205,38,36
206,31,63
207,126,80
208,53,181
209,93,64
210,118,98
211,116,31
212,98,88
213,104,119
214,43,76
215,109,207
216,10,181
217,19,175
218,64,154
219,78,59
220,40,2
221,31,188
222,105,38
223,63,147
224,126,62
225,114,25
226,42,142
227,99,204
228,76,123
229,108,206
230,5,66
231,114,55
232,7,3
233,100,29
234,6,93
235,49,44
236,63,168
237,115,145
238,102,165
239,63,194
240,127,37
241,59,147
242,110,129
243,41,131
244,82,21
245,72,116
246,119,115
247,28,181
248,39,54
249,65,113
250,93,68
251,125,29
252,21,140
253,91,167
254,57,98
255,89,142
256,14,67
257,2,109
258,97,174
259,2,91
260,87,73
261,64,9
262,108,172
263,123,189
264,127,13
265,84,61
266,102,65
267,83,174
268,45,83
269,91,96
270,102,128
271,124,17
272,73,203
273,26,185
274,21,26
275,126,111
276,2,23
277,33,96
278,82,125
279,86,202
280,69,59
281,9,174
282,109,103
283,125,49
284,8,31
285,7,87
286,51,185
287,68,39
288,107,176
289,83,149
290,90,95
291,114,201
292,128,136
293,86,68
294,45,54
295,41,184
296,111,104
297,56,151
298,26,199
299,65,9
