1,1,1,아메리카노,1,3800,
2,1,1,카페라떼,1,4500,
3,1,1,카푸치노,1,4500,
4,1,1,카라멜마끼아또,1,4500,
5,1,1,바닐라라떼,1,5000,
6,1,1,카페모카,1,5500,
7,1,1,헤이즐넛 아메리카노,1,4300,
8,1,1,헤이즐넛 라떼,1,5300,
9,1,1,더치 아메리카노,1,5300,
10,1,1,더치 라떼,1,5800,
11,1,2,초코라떼,1,4800,
12,1,2,녹차라떼,1,4800,
13,1,2,오곡라떼,1,4800,
14,1,2,민트크림초코,1,5800,
15,1,2,고구마라떼,1,5300,
16,1,2,홍차라떼,1,5300,
17,1,2,딸기라떼,1,5500,
18,1,3,플레인요거트,1,5300,
19,1,3,딸기요거트,1,5300,
20,1,3,녹차프라페,1,5800,
21,1,3,초코프라페,1,5800,
22,1,3,쿠키프라페,1,5800,
23,1,3,민트프라페,1,5800,
24,1,3,딸기스무디,1,5800,
25,1,3,망고스무디,1,5800,
26,1,3,망고요거트,1,5300,
27,1,3,모카프라페,1,5800,
28,1,4,레몬에이드,1,4800,
29,1,4,블루레몬에이드,1,4800,
30,1,4,자몽에이드,1,4800,
31,1,4,유자에이드,1,4800,
32,1,4,체리콕,1,4800,
33,1,4,라임에이드,1,5300,
34,1,4,청포도에이드,1,5800,
35,1,4,깔라만시에이드,1,5800,
36,1,5,아이스티,1,4300,
37,1,5,레몬티,1,4300,
38,1,5,유자티,1,4300,
39,1,5,꿀자몽티,1,4800,
40,1,5,캐모마일,1,4300,
41,1,5,페퍼민트,1,4300,
42,1,6,딸기바나나,1,4500,
43,1,6,망고바나나,1,4500,
44,1,6,초코바나나,1,4500,
45,1,6,망고주스,1,4300,
46,1,7,초코버블티,1,5500,
47,1,7,타로버블티,1,5900,
48,1,7,얼그레이버블티,1,5900,
49,1,7,블랙슈가버블티,1,5900,
50,1,8,블랙빈 케이크,1,5000,
51,1,8,치즈케이크,1,6000,
52,1,8,크림치즈 케이크,1,5500,
53,1,8,파니니 불고기,1,4500,
54,1,8,에그머니나,1,4000,
55,2,1,아메리카노,1,3800,
56,2,1,카페라떼,1,4500,
57,2,1,카푸치노,1,4500,
58,2,1,카라멜마끼아또,1,4500,
59,2,1,바닐라라떼,1,5000,
60,2,1,카페모카,1,5500,
61,2,1,헤이즐넛 아메리카노,1,4300,
62,2,1,헤이즐넛 라떼,1,5300,
63,2,1,더치 아메리카노,1,5300,
64,2,1,더치 라떼,1,5800,
65,2,2,초코라떼,1,4800,
66,2,2,녹차라떼,1,4800,
67,2,2,오곡라떼,1,4800,
68,2,2,민트크림초코,1,5800,
69,2,2,고구마라떼,1,5300,
70,2,2,홍차라떼,1,5300,
71,2,2,딸기라떼,1,5500,
72,2,3,플레인요거트,1,5300,
73,2,3,딸기요거트,1,5300,
74,2,3,녹차프라페,1,5800,
75,2,3,초코프라페,1,5800,
76,2,3,쿠키프라페,1,5800,
77,2,3,민트프라페,1,5800,
78,2,3,딸기스무디,1,5800,
79,2,3,망고스무디,1,5800,
80,2,3,망고요거트,1,5300,
81,2,3,모카프라페,1,5800,
82,2,4,레몬에이드,1,4800,
83,2,4,블루레몬에이드,1,4800,
84,2,4,자몽에이드,1,4800,
85,2,4,유자에이드,1,4800,
86,2,4,체리콕,1,4800,
87,2,4,라임에이드,1,5300,
88,2,4,청포도에이드,1,5800,
89,2,4,깔라만시에이드,1,5800,
90,2,5,아이스티,1,4300,
91,2,5,레몬티,1,4300,
92,2,5,유자티,1,4300,
93,2,5,꿀자몽티,1,4800,
94,2,5,캐모마일,1,4300,
95,2,5,페퍼민트,1,4300,
96,2,6,딸기바나나,1,4500,
97,2,6,망고바나나,1,4500,
98,2,6,초코바나나,1,4500,
99,2,6,망고주스,1,4300,
100,2,7,초코버블티,1,5500,
101,2,7,타로버블티,1,5900,
102,2,7,얼그레이버블티,1,5900,
103,2,7,블랙슈가버블티,1,5900,
104,2,8,블랙빈 케이크,1,5000,
105,2,8,치즈케이크,1,6000,
106,2,8,크림치즈 케이크,1,5500,
107,2,8,파니니 불고기,1,4500,
108,2,8,에그머니나,1,4000,
109,3,1,아메리카노,1,3800,
110,3,1,카페라떼,1,4500,
111,3,1,카푸치노,1,4500,
112,3,1,카라멜마끼아또,1,4500,
113,3,1,바닐라라떼,1,5000,
114,3,1,카페모카,1,5500,
115,3,1,헤이즐넛 아메리카노,1,4300,
116,3,1,헤이즐넛 라떼,1,5300,
117,3,1,더치 아메리카노,1,5300,
118,3,1,더치 라떼,1,5800,
119,3,2,초코라떼,1,4800,
120,3,2,녹차라떼,1,4800,
121,3,2,오곡라떼,1,4800,
122,3,2,민트크림초코,1,5800,
123,3,2,고구마라떼,1,5300,
124,3,2,홍차라떼,1,5300,
125,3,2,딸기라떼,1,5500,
126,3,3,플레인요거트,1,5300,
127,3,3,딸기요거트,1,5300,
128,3,3,녹차프라페,1,5800,
129,3,3,초코프라페,1,5800,
130,3,3,쿠키프라페,1,5800,
131,3,3,민트프라페,1,5800,
132,3,3,딸기스무디,1,5800,
133,3,3,망고스무디,1,5800,
134,3,3,망고요거트,1,5300,
135,3,3,모카프라페,1,5800,
